title,des,url,index
#68 科技丨为什么以色列没有996,"上线这期节目的时间还蛮凑巧，正好是犹太新年 Rosh Hashanah。
不过这期节目和新年无关，而是和以色列创新有关。以色列是个小国，资源并不丰富，却产生了很多高科技创业公司，也是蛮神奇的。
在这期节目中，和我聊天的嘉宾是李莎莎（Sally）。她是我认识了十多年的好友，在两年前被派到以色列，负责和孵化器有关的工作，因此和很多以色列创业公司打交道。目前，她在一家以色列创业公司工作。
在这次音频中，你能发现以色列创业文化盛行，一部分和犹太文化有关，也和国家制度，创新鼓励有关。但也正是文化和时不时的战争威胁，以色列的创业公司大多小而精巧，并追求快速退出。这和中国以及硅谷的创业文化和理念还蛮不一样的。
Enjoy！
相关信息
* Chutzpah，虎刺怕，是意地绪语（东欧犹太人曾广泛使用的一种语言）包括多种涵义：胆大妄为、鲁莽无畏、死皮赖脸、不达目的誓不罢休等。Chutzpah（虎刺怕）精神最杰出的代表恐怕算是以色列的祖先雅各了，他为了得到上帝的祝福竟与神的使者摔跤且获了胜，因而被改名以色列（以色列的意思就是与神摔跤的意思，圣经创世纪第32章）。
* 过去一期和以色列有关的节目：声东击西: #52 行走丨一场旅行带来的天翻地覆（上） (https://www.etw.fm/how-travel-changes-your-perspective-and-help-you-grow1)
* Good Schools Aren’t the Secret to Israel’s High-Tech Boom - WSJ (https://www.wsj.com/articles/good-schools-arent-the-secret-to-israels-high-tech-boom-1490051053)
* 活在以色列，唯有首先相信丨纽约时报中文网 (https://cn.nytimes.com/education/20130629/cc29israel/)
* How an Israeli Tech Startup Changed the NBA- WSJ (https://www.wsj.com/articles/the-israeli-tech-startup-that-changed-the-nba-1510068323)
* The Weapon Wizards: How Israel Became a High-Tech Military Superpower  by  Yaakov Katz, Amir Bohbot 丨 Books (https://www.amazon.com/Weapon-Wizards-High-Tech-Military-Superpower/dp/125008833X/ref=sr_1_1?ie=UTF8&amp;qid=1536606664&amp;sr=8-1&amp;keywords=the+weapon+wizards) Special Guest: 李莎莎（Sally）.
",https://aphid.fireside.fm/d/1437767933/8dd8a56f-9636-415a-8c00-f9ca6778e511/9c90dcde-afac-4358-9704-77bc5422b145.mp3,1
#67 这个犹太老人为什么要帮华裔诉哈佛,"（曹越对本音频剪辑亦有贡献）
华裔，或者说亚裔，是否在美国大学入学中受到了歧视？
数据和证据正在浮出水面，而这都是由于一个犹太裔老头 Edward Blum (https://en.wikipedia.org/wiki/Edward_Blum_(litigant)) 的努力。他2014年开始起诉哈佛 (http://samv91khoyt2i553a2t1s05i-wpengine.netdna-ssl.com/wp-content/uploads/2014/11/SFFA-v.-Harvard-Complaint.pdf)，在这过程中，哈佛不得不披露一些证据；而就在这两天，美国司法部也公布调查结果，称哈佛在招生中使用“个人评级”，损害了亚裔美国人相较其他种族群体的入学机会 (http://www.ftchinese.com/story/001079212?full=y)。
一个月后，波士顿联邦法院将会开庭审理这场诉哈佛的案件，而这多少会影响到亚裔未来大学升学机会。
这场诉讼来龙去脉究竟如何？这个犹太人又为何会积极组织这场诉讼？对亚裔不利的大学入学政策又有什么原因？
这次和我们一起讨论这一话题的是王子元，硅谷连续创业者，同时也是此次诉讼的积极关注者。
当然，如果听完之后觉得想要为之做些什么，相关捐款地址在这里 (https://studentsforfairadmissions.org/donate/) ，也欢迎讨论。
Enjoy！
相关信息
1. Edward Blum的相关信息：He Took On the Voting Rights Act and Won. Now He’s Taking On Harvard. - The New York Times (https://www.nytimes.com/2017/11/19/us/affirmative-action-lawsuits.html)
2. SFFA  网站 Legal Issues | Students for Fair Admissions (https://studentsforfairadmissions.org/legal-issues/)，以及捐款地址 (https://studentsforfairadmissions.org/donate/)
3. SFFA作为原告的诉状 (http://samv91khoyt2i553a2t1s05i-wpengine.netdna-ssl.com/wp-content/uploads/2014/11/SFFA-v.-Harvard-Complaint.pdf)
4. 提及 mismatch 理论的两篇文章 Is Affirmative Action Harming Minority Groups More Than It Helps? - The Atlantic (https://www.theatlantic.com/notes/2015/12/is-affirmative-action-harming-minority-groups-more-than-it-helps/420429/), Justice Scalia and ‘Mismatch Theory’ in University Admissions - The Atlantic (https://www.theatlantic.com/politics/archive/2015/12/the-needlessly-polarized-mismatch-theory-debate/420321/).
5. 平权运动下，亚裔美国人的挣扎与分裂丨纽约时报 (https://cn.nytimes.com/education/20180620/affirmative-action-asian-americans/)
6.  报告指哈佛大学给亚裔申请者性格打低分丨纽约时报 (https://cn.nytimes.com/usa/20180619/harvard-asian-enrollment-applicants/)
7.  美國大學為何不能接受更多亞裔學生丨纽约时报 (https://cn.nytimes.com/opinion/20170203/white-students-unfair-advantage-in-admissions/zh-hant/)
8.  访谈中提到的一个 Podcast host 对 Edward Blum 的采访 (https://itunes.apple.com/us/podcast/reveal/id886009669?mt=2&amp;i=1000393398094)
9.  纽约时报 podcast The Daily 相关的一期节目 (https://itunes.apple.com/us/podcast/the-daily/id1200361736?mt=2&amp;i=1000390657828)
10.  关于平权法案和费雪案一个法律解读：“平权法案”(Affirmative Action)与费雪案：什么是真正的公平 (https://zhuanlan.zhihu.com/p/21495846) Special Guest: 王子元.
",https://aphid.fireside.fm/d/1437767933/8dd8a56f-9636-415a-8c00-f9ca6778e511/3ee17bd8-c975-4d4a-9fa1-a0621a39ae01.mp3,2
#66 MET00在中国,"可能看到这个题目，你们大概知道这一期的聊天主题了。
去年以来对哈维·韦恩斯坦的性骚扰与性侵犯指控受到全世界关注，但当时中国显得格外安静。如今这一刻的发生，不仅需要当事人的勇气，更需要社会舆论的有形和无形的支持，以及对于这一问题的基本共识。中国的“我也是”运动是今年早些时候在大学校园里开始的，此后十多位女性对著名记者、知识分子和公益领袖提出了性侵和性骚扰指控，开始像一场运动了。
MeToo 为什么现在爆发？未来又会如何？
",https://aphid.fireside.fm/d/1437767933/8dd8a56f-9636-415a-8c00-f9ca6778e511/b57ebd4d-31e9-409a-8f1b-a900a23c238b.mp3,3
#65 一家疫苗公司的造假风波，怎样瓦解了我们对国产疫苗的信任？,"（曹越亦对本音频的剪辑有贡献）
长春长生疫苗引发的一系列丑闻已有半月，所引发的愤怒和焦虑，似已被别的热点所掩盖。
但，是否不打疫苗就躲过了风险；疫苗接种率的高低对一个社群究竟意味着什么；整个医疗卫生制度是否在这些事故后有所改进……这些都不应该被忽视或者忘记，而应该被接着讨论。
我们本期请到了徐卓君。她在中国做了十年的健康医疗报道，现工作于丁香园，依然关注公共卫生领域话题，并因此也在打理一个很棒的公众号“偶尔治愈”。此前，她在《南方都市报》工作。她也是个潜水爱好者。
Enjoy！
相关信息
1. 一家疫苗公司的生产造假风波，是怎样瓦解了我们对国产疫苗的信任？ (https://mp.weixin.qq.com/s/2J3Ls5UKVy108ffP2Xek6Q)
2. 群体免疫，是指人或动物群体中的很大一部分因接种疫苗而获得免疫力，使得其他没有免疫力的个体因此受到保护而不被传染。
3. 《勾勒姆医生：作为医学的科学与作为救助手段的医学》 (https://book.douban.com/subject/4715529/)
4. 《他们应当行走：美国往事之小儿麻痹症》 (https://book.douban.com/subject/26581915/)
5. 《免疫：接种》(On Immunity: An Inoculation) ,欧拉·比斯(Eula Biss)著 (https://book.douban.com/subject/26842454/)
6. 《埃博拉浩劫》,理查德·普雷斯顿(Richard Preston)著 (https://book.douban.com/subject/26364730/)
7. 谁来监管监管者丨纽约时报 (https://cn.nytimes.com/opinion/20130322/cc22wangqiang/)
8.  强生婴儿爽生粉陷致癌风波 (https://cn.nytstyle.com/health/20160524/t24well-babypowder/)
 Special Guest: 徐卓君.
",https://aphid.fireside.fm/d/1437767933/8dd8a56f-9636-415a-8c00-f9ca6778e511/4cc3db7c-1d04-43f1-94db-fdaf0a7414b7.mp3,4
#64 你不了解的那段硅谷源头，藏在旧金山这家地标书店中,"提到硅谷，你会想到哪些关键词？
是不是“科技”、“创新”、“风险投资”？
但这期节目中，我们说，硅谷和下面这些关键词紧密相连：反叛、反主流文化、垮掉的一代、LSD……
我们从聊旧金山城市之书店开始，它的历史和旧金山以及硅谷的文化紧密相连。你了解了这个书店的历史，多少也就了解了旧金山为什么会成为旧金山，以及硅谷为什么会成为硅谷。
嘉宾是我们的老朋友李蓉慧，她在前不久采访了城市之光书店的管理者 Paul Yamazaki。其中聊到的很多故事都很有趣。
忍不住还想引用艾萨克森所著的《乔布斯传》中的一段，因为这是那段历史的浓缩，并也给出了一些线索——这段历史如何深刻地影响了硅谷。
”20世纪60年代末，各种文化潮流在旧金山和硅谷交汇。技术革命伴随着军事承包商的增加而兴起，并迅速扩展到电子公司、微芯片制造商、视频游戏软件设计师和计算机公司。这里出现了黑客的亚文化群，包括那些不愿遵照惠普模式行事的工程师和他们不合群的孩子们。这里有准学术性的团体在研究迷幻药的效果，参与者包括道格·恩格尔巴特（DougEngelbart），他后来参与发明了电脑鼠标以及图形用户界面；还有肯·凯西，他为了歌颂毒品举行了一场声光盛宴，请来了一支乐队表演，而这支乐队就是后来的“感恩而死”（GratefulDead）。在这里，湾区垮掉的一代发起了嬉皮士运动，伯克利的言论自由运动诞生了一批叛逆的政治活跃分子。在这背景下，一系列实现自我、追求心灵启迪的行为风靡一时——禅宗和印度教，冥想和瑜伽，原始尖叫和感觉剥夺，伊莎兰治疗法[1]和埃哈德研讨训练。
嬉皮士信仰与计算机力量的交融，思想与科技的结合，都在史蒂夫·乔布斯的身上得到了体现。“
Enjoy！
相关信息
1. 城市之光书店 (http://www.citylights.com/)，位于旧金山中国城和小意大利（北滩，North Beach）的独立书店，于1953年由 Lawrence Ferlinghetti 和 Peter D. Martin 成立。Martin 于1955年离开；
2. LSD，一种致幻剂；
3. 艾伦·金斯堡 (https://zh.wikipedia.org/wiki/%E8%89%BE%E4%BC%A6%C2%B7%E9%87%91%E6%96%AF%E5%A0%A1)（ Allen Ginsberg），美国诗人，垮掉的一代代表人物，代表作为《嚎叫》（Howl）；
4.  Nancy Peters，现在城市之光书店的所有者之一，曾在国会图书馆工作；
5.  垮掉的一代 (https://zh.wikipedia.org/wiki/%E5%9E%AE%E6%8E%89%E7%9A%84%E4%B8%80%E4%BB%A3)（Beat Generation），美国二战后兴起的自由主义运动，反对主流价值观，反对物质主义，追求个性解放；
6.  反主流文化对硅谷文化影响有详细论述的一本书 From Counterculture to Cyberculture（数字乌托邦），由斯坦福大学教授 Fred Turner 所著；
 Special Guest: 李蓉慧.
",https://aphid.fireside.fm/d/1437767933/8dd8a56f-9636-415a-8c00-f9ca6778e511/66aaa3a6-703d-419b-bce9-526124bb47ea.mp3,5
#63 商业丨中国比美国更创新吗？,"中国和美国的比较成为了常态。不单单是往来中美的人习惯进行这样的对比，还有越来越多新一代外国人愿意到中国工作和生活，体会这个世界上最活跃的移动互联网国家正在发生的一切。与此同时，一种观点认为，中美贸易战背后的深层原因，正在中国和美国在创新上的未来较量。我们就自身的经历，以创新的比较延续了对贸易战的观察，也欢迎你多和我们分享对中美之间比较的故事。
相关链接：
这张表格让你看到为何中国在主导金融科技的发展 (https://www.cnbc.com/2018/06/08/this-chart-shows-how-china-is-dominating-fintech.html)？
",https://aphid.fireside.fm/d/1437767933/8dd8a56f-9636-415a-8c00-f9ca6778e511/3381fdff-b898-4d90-ab03-4ad92818fe6c.mp3,6
#62 商业丨中美贸易战不打了，还是想聊聊我们的观察,"过去几个月的贸易战可能是这个时代最大的一则新闻。小到我们能不能吃到樱桃，大到进口车关税和更长久的经济往来，都与此相关。这期节目录制好的第二天，两国都表现出愿意做出让步，以缓和贸易紧张关系。这个过程当然不都是愉快的讨论，但有一点无可否认，中美两国的关系肯定是这个时代最重要的经济关系，每年有超过7000亿美元的商品和服务贸易往来，与此相伴的，更是错综复杂网状的全球贸易流转。
如果有你有意思的观察和评论，也欢迎来信给我们，或者加入我们的telegram听众群 (https://t.me/joinchat/INAv702i_mckmPkVnfPMOA)跟大家讨论。
周末愉快！
补充信息和相关链接
1. 《纽约时报》关于福耀玻璃在美国的报道 (https://cn.nytimes.com/business/20171110/china-auto-ohio-union/)
2.  徐涛：《跨国公司回归美国制造》 (http://www.yicai.com/news/2175861.html)（2012）
",https://aphid.fireside.fm/d/1437767933/8dd8a56f-9636-415a-8c00-f9ca6778e511/ba9d8f5e-02e1-491d-9666-834643f7b150.mp3,7
#61 文化丨美国人为什么迷上了看亚洲剧,"这一期我们请来的嘉宾是刘晓畅，大家叫她Chary。她是中国人，但在一家韩国人创立的视频网站Dramafever工作，内容面对的又是美国人。非常地跨文化。但最有意思的是，她的工作就是每天看电视剧，是不是很让人嫉妒。
这些电视剧还不是美剧，而是韩剧、日剧以及《锦绣未央》、《三生三世十里桃花》这样的中国大陆剧，这些剧吸引的人群9成以上都是非亚裔。这简直是最「声东击西」的故事了。我们和她聊了聊引进这些剧背后的花絮，如何把它推荐给美国的观众们，以及YouTube上那么多大陆剧到底都是哪儿来的。我们还聊起了抖音，以及中国公司如今的国际化为什么很有机会。
Enjoy!
相关链接：
1. 播放亚洲剧的视频网站 Dramafever (https://en.wikipedia.org/wiki/DramaFever) 
2. 如何在YouTube上看大陆剧 (https://www.youtube.com/channel/UCAqDX_XjLlvhjY0eDqHpVQw)？
3. 如果想正儿八经地了解下这背后的生意，可以看看《第一财经周刊》上曾经发表过的这篇报道 (http://www.yicai.com/news/4576222.html) 
",https://aphid.fireside.fm/d/1437767933/8dd8a56f-9636-415a-8c00-f9ca6778e511/845aad7f-ebf2-4c37-a7fb-855d354c2b94.mp3,8
#60 行走丨即使是小白，也可以骑着单车去旅行,"之前节目中我们聊到过，骑单车是很好的探索城市的方法：不太慢，也不太快，还可以随时停下来。
这期节目中的嘉宾沈思（小毛），就是一个骑着自行车带着水彩颜料去旅行的姑娘。在几年前,她独自一人完成骑自行车环台湾岛旅行；之后这几年，她也尝试着带队去日本岛波海道，边骑行边画画。她会觉得在这样快节奏的世界中，无论是单车骑行还是停下来画画，都是一种难得的和各种景色进行更长时间对话的机会。
小毛的手绘日记 https://uploads.fireside.fm/images/8/8dd8a56f-9636-415a-8c00-f9ca6778e511/AuDAQ8k0.jpg
本期开头也提到了一封听众来信，听众Jessie是听完美国铁路槽点不少，但故事更多 (http://www.etw.fm/take-the-train-across-the-united-states)这一集后，想要告诉大家美国圣地亚哥Old Town有个很不错的火车博物馆。这个博物馆的地址在这里：https://www.oldtowntrains.com/
也欢迎更多听众和我们分享。
Enjoy！
相关信息
- 沈思台湾环岛骑行之后出版的书《两个轮子一个岛》 (https://book.douban.com/subject/25901913/)
- 岛波海道 (http://www.go-shimanami.jp/global/zh_cn/bicycle/)，日本唯一可以骑车和徒步横跨濑户内海的道路。全长70公里。
- Treep旅行 (https://mp.weixin.qq.com/s/2aZnqo64Ff2QV7dHxRhVeA)，节目中提到的旅行创业公司
节目中的配乐
- Acoustic Friends Track 1-“Hi-D” by DEPAPEPE
- 夏目友人帳-初夏の章 in 夏の午後
 Special Guest: 沈思.
",https://aphid.fireside.fm/d/1437767933/8dd8a56f-9636-415a-8c00-f9ca6778e511/9fc3c877-6392-44fc-a95c-2818f245fc8e.mp3,9
#59 成长丨被拒绝也能当网红？也许是因为他从中发现的秘密,"每个人生活中都会遇到很多次拒绝，这些拒绝让人难过甚至痛苦。但我们这次请到的嘉宾却主动去寻找""被据""。
这位嘉宾是蒋甲, 由于 ""被拒"" 这个话题, 他在美国已是一名网红, 还在 TED 上做过相关演讲. 我们这次就来听一下他故意寻求被拒绝的经历, 以及他在这个过程中发现的一些秘密.
一些他提到的tips:
1. 不要害怕被拒绝的感受,也不要反刍这种感受,要行动起来;
2. 被拒绝的那一瞬间不要逃跑,可以问问别人为什么拒绝你,或者试着聊聊天,讨价还价一下.
3. 将被拒绝作为一个trigger.例如在找投资时,一旦被一个投资人拒绝,迅速再找两个其他的投资人.
Enjoy!
相关链接
1. 蒋甲在TED上的演讲 What I learned from 100 days of rejection  (https://www.ted.com/talks/jia_jiang_what_i_learned_from_100_days_of_rejection/up-next)
节目中提到的关于坚毅力的那本书 Grit: The Power of Passion and Perseverance (https://www.amazon.com/dp/B010MH9V3W/ref=dp-kindle-redirect?_encoding=UTF8&amp;btkr=1) by Angela Duckworth 
3.节目中提到的关于成长思维的书 Mindset: The New Psychology of Success (https://www.amazon.com/dp/B000FCKPHG/ref=dp-kindle-redirect?_encoding=UTF8&amp;btkr=1) by Carol S. Dweck 
你在这里可以看到他的被拒绝 (https://www.youtube.com/user/DukieAjah/videos)视频 Special Guest: 蒋甲.
",https://aphid.fireside.fm/d/1437767933/8dd8a56f-9636-415a-8c00-f9ca6778e511/737692e8-8c14-4a06-891f-4d560d4fc372.mp3,10
